owner_id,host_rating
160913639,0.0
84162292,4.935
96045548,0.0
419526733,0.0
183738964,4.7
78577847,5.0
364423090,5.0
381438849,5.0
227167421,5.0
237768745,0.0
479430333,0.0
336892825,0.0
167170659,0.0
111082626,0.0
373986345,0.0
116817328,5.0
88653610,0.0
194117495,0.0
11421486,2.5
332331773,0.0
42526517,5.0
241847374,4.6
236114644,4.94
165252580,4.97
45582574,0.0
234629826,4.89
229230321,0.0
146541452,4.2
215724709,4.94
88028074,4.97
152352055,0.0
431163667,0.0
86310557,0.0
163555140,4.8925
252425745,5.0
403721926,5.0
231349656,5.0
231717017,0.0
271785962,4.73
187183025,4.71
326164242,0.0
80526805,4.4866666667
40728055,0.0
377759233,0.0
244632804,0.0
143699250,4.96
219526601,0.0
305065600,0.0
260246980,0.0
473067500,0.0
302719521,5.0
154734872,4.89
369295709,4.67
162678666,4.8
484808188,0.0
441188454,0.0
63237197,5.0
319567103,0.0
311775037,5.0
247650256,0.0
74070167,2.435
1247067,0.0
142120218,0.0
137896978,0.0
199238195,5.0
223560023,0.0
103191161,1.6666666667
264282150,4.71
94087822,0.0
99716513,2.3
29640086,4.75
165452233,0.0
412129976,0.0
423407916,0.0
378773794,5.0
269073821,5.0
483133100,0.0
308324674,5.0
116554837,0.0
325707202,0.0
63860112,0.0
152391768,5.0
303262564,0.0
162638876,0.0
385116789,4.73
274599012,5.0
326420934,4.8
80260531,4.94
291010584,0.0
104639160,0.0
71875178,4.69
36280612,0.0
102161096,4.285
423201941,5.0
25984866,4.1971428571
423050816,2.5
104274630,0.0
129774925,2.5
381673777,4.97
235012783,2.405
153773579,2.455
412583841,0.0
105965686,0.0
228954970,4.82
229738159,2.48
436780241,0.0
383986002,0.0
134304226,0.0
462118371,0.0
22496850,0.0
56904992,0.0
429416702,0.0
362289299,4.81
416312700,5.0
363130583,5.0
202322940,4.77
20603451,4.6
67622278,4.985
231011747,5.0
449871342,0.0
237029985,4.86
414486431,3.0
323925012,0.0
368521605,0.0
294425007,5.0
101494197,4.8433333333
346582211,3.2866666667
439644474,0.0
24198676,1.15
163073391,4.93
100030125,0.0
369734009,0.0
133846052,5.0
420142305,5.0
245542902,0.0
379872198,0.0
67734850,0.0
293614824,0.0
240482946,5.0
382654895,0.0
100509117,0.0
220836478,4.88
199730961,0.0
152893116,4.9066666667
439122897,0.0
485344872,0.0
8347337,4.9866666667
118681228,4.85
22398457,4.918
230998074,2.5
149619584,2.345
431594419,0.0
404266232,0.0
97805488,2.085
377630426,4.85
483558435,0.0
163794217,4.89
25547312,4.94
244394507,4.69
60046866,0.0
323043033,0.0
321845995,0.0
159737657,0.0
12901059,0.0
78533355,4.96
52781602,4.74
138981286,5.0
461891399,0.0
429683285,0.0
472414791,0.0
229276388,1.6666666667
101432487,4.96
389604695,5.0
289507180,4.75
273365968,4.625
144107545,0.0
281590393,4.6
147436857,4.54
400446990,5.0
165086634,0.0
170406025,2.315
426621400,0.0
375023957,0.0
217276208,5.0
37878101,0.0
101742933,5.0
443994964,0.0
3012221,0.0
373059383,0.0
158703707,4.78
63155078,4.92
27561390,4.78
128764932,0.0
241668602,5.0
82495818,0.0
171259138,4.46
466049604,0.0
100142603,0.0
438193481,4.88
237876168,2.5
484254042,0.0
43435900,4.81
155422184,4.94
35641044,4.32
439061490,0.0
228777145,0.0
139474155,4.94
151919621,5.0
365233326,0.0
5870289,0.0
431282059,5.0
194347953,5.0
280171560,5.0
183620005,0.0
437088694,0.0
110796492,0.0
134601010,1.64
157832796,5.0
289436732,5.0
239715232,3.11
105048454,5.0
436313838,0.0
243494106,2.13
414476763,0.0
256481618,0.0
249951767,5.0
49924388,4.59
301810067,0.0
35566716,4.52
435102111,0.0
170006023,0.0
227675132,0.0
163719561,3.2233333333
86761508,0.0
314142803,5.0
241217291,0.0
105417560,0.0
156809164,4.67
300576771,0.0
358054692,4.95
273331651,5.0
269489781,4.89
235236091,4.95
9506232,3.2733333333
130014999,3.665
